name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Jacek Spychała,M,SBD,Single-ply,21.5,20-23,Juniors,67.4,67.5,250,140,255,3,2000-09-13,IPF,World Juniors Powerlifting Championships
Denise Perez,F,SBD,Single-ply,NA,NA,Open,48,48,115,50,137.5,2,1981-05-11,IPF,Women's World Powerlifting Championship
Gabriel García,M,SBD,Raw,43.5,40-44,Masters 1,92.15,93,277.5,180,285,2,2019-06-04,IPF,World Classic Powerlifting Championships
Andriy Naniev,M,SBD,Single-ply,24.5,24-34,Middle,82,82.5,347.5,225,312.5,2,2009-07-25,IPF,World Games
Bob Eucker,M,SBD,Single-ply,21,20-23,Juniors,97.7,100,322.5,197.5,327.5,1,1994-06-18,IPF,World Juniors Powerlifting Championships
John Darby,M,SBD,Single-ply,41.5,40-44,Open,110,110,290,182.5,310,7,1979-11-02,IPF,Men's World Powerlifting Championships
Susan Elwyn,F,SBD,Raw,71,70-74,Masters 4,45.95,47,65,32.5,110,1,2019-06-04,IPF,World Classic Powerlifting Championships
Richard Batchelor,M,SBD,Single-ply,23.5,24-34,Open,67.1,67.5,240,135,260,8,1998-11-10,IPF,Men's World Powerlifting Championships
Svetlana Paltseva,F,B,Single-ply,35.5,35-39,Open,89.95,90,NA,150,NA,2,2005-01-12,IPF,World Open Bench Press Championships
Monika Sharma,F,B,Single-ply,32.5,24-34,Open,61.64,63,NA,40,NA,11,2019-05-18,IPF,World Bench Press Championships
Lars Mitbö,M,B,Single-ply,45.5,45-49,Masters 1,73.8,75,NA,147.5,NA,5,2002-04-18,IPF,World Masters Bench Press Championships
Jean-Yves Minelle,M,SBD,Raw,50,50-54,Masters 2,118.2,120,180,195,230,5,2016-06-19,IPF,World Classic Powerlifting Championships
Li-Min Lin,F,B,Single-ply,27.5,24-34,Open,54.9,56,NA,110,NA,2,1998-12-11,IPF,World Bench Press Championships
Adolfo Roman,M,SBD,Single-ply,30.5,24-34,Open,89.78,90,225,150,215,15,2009-11-02,IPF,World Powerlifting Championships
Zoe Clark,F,SBD,Raw,21.5,20-23,Open,68.8,72,107.5,65,125,7,2017-07-10,IPF,World University Powerlifting Cup
Erika Wimmer,F,B,Single-ply,66.5,65-69,Masters 2,65.9,67.5,NA,60,NA,5,2007-09-12,IPF,World Masters Bench Press Championships
Maxim Makariev,M,B,Single-ply,17.5,18-19,Sub-Juniors,80.1,83,NA,172.5,NA,1,2011-05-25,IPF,World Bench Press Championships
Erwin Breitenbach,M,SBD,Single-ply,49.5,45-49,Masters 2,87.45,90,212.5,100,245,5,1994-10-19,IPF,World Masters Powerlifting Championships
Len Skeen,M,SBD,Single-ply,NA,NA,Open,51.2,52,145,92.5,197.5,5,1979-11-02,IPF,Men's World Powerlifting Championships
Bo Eklöf,M,B,Single-ply,56.5,55-59,Masters 2,86.1,90,NA,137.5,NA,6,2001-04-13,IPF,World Masters Bench Press Championships
Eric Oishi,M,SBD,Single-ply,37.5,35-39,Open,65.68,66,277.5,190,262.5,6,2017-11-13,IPF,World Powerlifting Championships
Wolfgang Zimmermann,M,B,Single-ply,48.5,45-49,Masters 1,116.15,120,NA,270,NA,5,2017-05-22,IPF,World Bench Press Championships
Jukka Keinänen,M,B,Single-ply,31.5,24-34,Open,97.2,100,NA,245,NA,5,2003-12-05,IPF,World Bench Press Championships
Atte Korhonen,M,SBD,Raw,15.5,16-17,Sub-Juniors,58.97,59,117.5,75,145,7,2015-06-05,IPF,World Classic Powerlifting Championships
Therese Jallais Marie,F,SBD,Single-ply,58.5,55-59,Masters 2,49.01,52,82.5,55,102.5,2,2016-10-03,IPF,World Masters Championships
Paul Mears #1,M,SBD,Single-ply,62.5,60-64,Masters 3,65.71,66,170,85,182.5,4,2016-10-03,IPF,World Masters Championships
Sahra Zihms,F,B,Single-ply,20.5,20-23,Juniors,79,82.5,NA,117.5,NA,3,2010-05-24,IPF,World Sub-Juniors & Juniors Bench Press Championships
Yutaro Shimizu,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,55.4,56,130,NA,NA,DQ,2002-09-25,IPF,World Sub-Juniors Powerlifting Championships
Ali Aliakbar,M,B,Single-ply,28.5,24-34,Open,148.5,125+,NA,NA,NA,DQ,2005-01-12,IPF,World Open Bench Press Championships
Béla Bolgárfalvi,M,B,Raw,50,50-54,Open,83.8,90,NA,170,NA,2,1993-12-10,IPF,World Disabled Bench Press Championships
Ricardo Pereira,M,SBD,Single-ply,25.5,24-34,Open,90.8,100,260,140,290,16,1998-11-10,IPF,Men's World Powerlifting Championships
Alex Galant,M,SBD,Single-ply,47.5,45-49,Masters 1,51.1,52,147.5,85,160,1,1995-10-03,IPF,World Masters Powerlifting Championships
Dmytro Semenenko,M,SBD,Single-ply,19.5,20-23,Juniors,81.56,82.5,335,192.5,295,2,2008-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Kotaro Namba,M,SBD,Single-ply,19.5,20-23,Juniors,91.9,93,295,172.5,232.5,12,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Fredrik Svensson,M,B,Single-ply,34.5,24-34,Open,153.27,120+,NA,367.5,NA,3,2014-05-20,IPF,World Bench Press Championships
Nina Kondrashyova,F,SBD,Raw,58,55-59,Open,71.12,72,157.5,97.5,180,9,2018-06-06,IPF,6th World Classic Championships
Tristan Nazelrod,M,B,Single-ply,19.5,20-23,Juniors,116.64,120,NA,242.5,NA,6,2016-04-19,IPF,World Bench Press Championships
Chung-Lyang Chiu,M,SBD,Single-ply,19.5,20-23,Juniors,58.6,60,210,100,220,5,1994-06-18,IPF,World Juniors Powerlifting Championships
Wade Hooper,M,SBD,Single-ply,25.5,24-34,Open,67.3,67.5,290,187.5,252.5,1,1996-12-14,IPF,Men's World Powerlifting Championships
Rose Heck,F,SBD,Single-ply,NA,NA,Masters 1,67.9,75,122.5,60,127.5,3,2003-10-08,IPF,World Masters Powerlifting Championships
Jaroslav Hnětynka,M,B,Single-ply,21.5,20-23,Juniors,124.9,120+,NA,160,NA,8,2011-05-25,IPF,World Bench Press Championships
Ya-Ling Chen,F,SBD,Single-ply,36.5,35-39,Open,59.6,60,192.5,112.5,185,3,1999-05-19,IPF,Women's World Powerlifting Championships
Torsten Pfeiffer,M,SBD,Single-ply,43.5,40-44,Masters 1,108.3,110,280,190,280,6,2007-06-10,IPF,World Masters Powerlifting Championships
Ida Lis,F,SBD,Single-ply,15.5,16-17,Sub-Juniors,56.7,57,115,57.5,135,5,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Michael Hildebrandt,M,B,Single-ply,31,24-34,Open,92.23,93,NA,275,NA,9,2016-04-19,IPF,World Bench Press Championships
Viktoria Shteinke,F,B,Single-ply,16.5,16-17,Sub-Juniors,50.9,52,NA,85,NA,1,2015-05-20,IPF,World Bench Press Championships
Sergejs Ivaņušins,M,SBD,Single-ply,16.5,16-17,Sub-Juniors,74.4,75,NA,162.5,200,DQ,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Tuomas Puhakka,M,SBD,Raw,22.5,20-23,Open,103.41,105,235,150,272.5,10,2018-07-09,IPF,3rd World University Powerlifting Cup
Malinda Baum,F,B,Single-ply,47.5,45-49,Masters 1,95.2,84+,NA,120,NA,2,2011-04-13,IPF,World Masters Bench Press Championships
S. Evans,M,SBD,Single-ply,NA,NA,Juniors,100,100,265,165,280,5,1987-09-17,IPF,World Juniors Powerlifting Championships
Jean Maton,F,SBD,Single-ply,37.5,35-39,Open,79.1,82.5,162.5,90,165,8,2001-05-24,IPF,Women's World Powerlifting Championships
Conny Nilsson,M,SBD,Single-ply,22.5,20-23,Open,89.8,90,310,170,300,5,1978-11-02,IPF,Men's World Powerlifting Championships
Allan Riis,M,B,Single-ply,41.5,40-44,Open,92.6,93,NA,260,NA,7,2013-05-20,IPF,World Bench Press Championships
Bob Cross,M,SBD,Single-ply,NA,NA,Masters 2,55,56,105,65,147.5,1,1984-12-13,IPF,World Masters Powerlifting Championships
Victoria Vargas,F,B,Raw,22.5,20-23,Juniors,50.69,52,NA,85,NA,2,2017-04-22,IPF,World Classic Bench Press Championships
Reinhold Kases,M,B,Single-ply,NA,NA,Open,121.5,125,NA,252.5,NA,3,1994-12-04,IPF,World Bench Press Championships
Raija Koskinen-Jurkko,F,SBD,Single-ply,45.5,45-49,Light,45.9,52,175,90,152.5,5,2009-07-25,IPF,World Games
Marie-Christine Pracella,F,B,Single-ply,44,40-44,Open,56.6,60,NA,110,NA,4,2010-05-24,IPF,World Bench Press Championships
Kurt Nygård,M,B,Single-ply,57.5,55-59,Masters 2,107.8,110,NA,200,NA,3,2004-04-21,IPF,World Masters Bench Press Championships
Heli Jokela,F,SBD,Raw,19.5,20-23,Juniors,61.7,63,105,67.5,120,10,2014-06-01,IPF,World Classic Powerlifting Championships
Yoshiki Suzuki,M,SBD,Single-ply,19.5,20-23,Juniors,73.78,74,260,170,235,7,2013-08-27,IPF,World Juniors & Sub-Juniors Championships
Vladislav Nemov,M,SBD,Raw,22.5,20-23,Juniors,132.8,120+,265,180,270,6,2019-06-04,IPF,World Classic Powerlifting Championships
Kseniia Materinskaia,F,B,Single-ply,16.5,16-17,Sub-Juniors,56.64,57,NA,100,NA,1,2019-05-18,IPF,World Bench Press Championships
György Lovasz,M,SBD,Single-ply,42.5,40-44,Masters 1,100,100,290,190,287.5,1,1990-10-13,IPF,World Masters Powerlifting Championships
Yan Urusov,M,B,Single-ply,22.5,20-23,Juniors,65.56,66,NA,207.5,NA,1,2012-05-21,IPF,World Bench Press Championships
Jami Saarela,M,SBD,Raw,21.5,20-23,Juniors,93,93,225,185,260,5,2013-06-11,IPF,World Classic Powerlifting Championships
Keisuke Takahashi,M,B,Single-ply,26.5,24-34,Open,75,75,NA,NA,NA,DQ,2000-12-08,IPF,World Bench Press Championships
Hatsuko Kimura,F,SBD,Single-ply,53.5,50-54,Masters 2,53.9,56,130,70,150,2,2005-10-04,IPF,World Masters Powerlifting Championships
Rachel Simpkin,F,SBD,Single-ply,33.5,24-34,Open,54.6,56,122.5,62.5,140,6,1994-05-25,IPF,Women's World Powerlifting Championships
Karel Šourek,M,B,Single-ply,58.5,55-59,Masters 2,73.7,75,NA,100,NA,4,2002-04-18,IPF,World Masters Bench Press Championships
Petr Theuser,M,SBD,Single-ply,43.5,40-44,Open,98.2,100,345,232.5,310,4,2005-11-08,IPF,Men's World Powerlifting Championships
Wim Wamsteeker,M,SBD,Single-ply,45.5,45-49,Masters 1,119.5,120,317.5,185,270,5,2015-09-28,IPF,World Masters Powerlifting Championships
Martine Parfait,F,B,Single-ply,51,50-54,Masters 2,55.3,56,NA,67.5,NA,5,2008-04-16,IPF,World Masters Bench Press Championships
Grzegosz Herman,M,SBD,Single-ply,NA,NA,NA,59.6,60,200,127.5,225,7,1991-11-14,IPF,Men's World Powerlifting Championships
Olimpia-Camelia Olariu,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,71.1,72,112.5,100,107.5,6,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
William Jiang,M,SBD,Raw,22.5,20-23,Open,73.14,74,197.5,132.5,230,8,2018-07-09,IPF,3rd World University Powerlifting Cup
Ramesh Malik,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,74.8,75,155,90,170,4,2001-09-16,IPF,World Sub-Juniors Powerlifting Championships
Jose Hernandes,M,SBD,Single-ply,21.5,20-23,Open,71.3,75,200,145,190,16,2005-11-08,IPF,Men's World Powerlifting Championships
Jarno Leppämäki,M,B,Raw,30.5,24-34,Open,103.9,105,NA,210,NA,5,2016-05-15,IPF,World Classic Bench Press Championships
Franco Giummarra,M,SBD,Single-ply,56.5,55-59,Masters 2,55.5,56,190,82.5,215,1,2007-06-10,IPF,World Masters Powerlifting Championships
Charley Guynes,F,B,Single-ply,15.5,16-17,Sub-Juniors,58.8,60,NA,65,NA,4,2010-05-24,IPF,World Sub-Juniors & Juniors Bench Press Championships
Frank Jørgensen,M,SBD,Single-ply,32.5,24-34,Open,124.55,125,300,200,320,8,1993-11-27,IPF,World Powerlifting Championships
Yoshito Nishimura,M,SBD,Single-ply,17,16-17,Sub-Juniors,64.7,67.5,190,NA,205,DQ,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Viktor Popov,M,SBD,Raw,18.5,18-19,Juniors,58.35,59,150,102.5,185,3,2013-06-11,IPF,World Classic Powerlifting Championships
Veiko Friedrich,M,B,Raw,52,50-54,Masters 2,80.43,83,NA,127.5,NA,8,2017-04-22,IPF,World Classic Bench Press Championships
Tamara Bagriy,F,B,Single-ply,23.5,24-34,Open,67,67.5,NA,107.5,NA,6,1998-12-11,IPF,World Bench Press Championships
Nelson Boutte,M,SBD,Single-ply,18.5,18-19,Juniors,59.5,60,242.5,127.5,210,2,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Sayeur Mario,M,SBD,Raw,40.5,40-44,Masters 1,141.46,120+,280,152.5,300,5,2017-06-14,IPF,World Classic Powerlifting Championships
Françoise Calves,F,SBD,Single-ply,54.5,50-54,Masters 2,60.38,63,117.5,67.5,135,7,2011-09-26,IPF,World Masters Powerlifting Championships
Chris Lichtenauer,M,SBD,Single-ply,22.5,20-23,Juniors,78.8,82.5,NA,NA,NA,DQ,2002-09-10,IPF,World Juniors Powerlifting Championships
Todor Vasilev,M,SBD,Single-ply,27.5,24-34,Open,75,75,300,165,292.5,5,2006-11-05,IPF,World Powerlifting Championships
Jenny Hunter,F,SBD,Raw,56.5,55-59,Masters 2,51.72,52,62.5,65,115,2,2015-06-05,IPF,World Classic Powerlifting Championships
B. Pollard,M,SBD,Single-ply,NA,NA,Juniors,60,60,177.5,107.5,202.5,4,1984-09-20,IPF,World Juniors Powerlifting Championships
Ruth Hole,F,B,Single-ply,29.5,24-34,Open,62.02,63,NA,122.5,NA,8,2019-05-18,IPF,World Bench Press Championships
Stacey Anne Gould,F,SBD,Raw,26.5,24-34,Open,92.7,84+,85,40,90,6,2017-07-10,IPF,World University Powerlifting Cup
Virginie Clisson,F,SBD,Raw,22.5,20-23,Open,63,63,130,77.5,155,2,2016-07-11,IPF,World University Powerlifting Cup
Molina Eduviges,F,SBD,Single-ply,21.5,20-23,Juniors,44,44,150,65,110,4,2003-09-09,IPF,World Juniors Powerlifting Championships
Karen Lloyd,F,SBD,Single-ply,35.5,35-39,Open,51.9,52,112.5,72.5,145,10,1997-06-18,IPF,Women's World Powerlifting Championships
Perenlei Shagdar,M,SBD,Raw,67.5,65-69,Masters 3,58.2,59,NA,NA,120,DQ,2019-06-04,IPF,World Classic Powerlifting Championships
Andreas Klimek,M,SBD,Single-ply,19.5,20-23,Juniors,80.4,82.5,270,167.5,270,5,1994-06-18,IPF,World Juniors Powerlifting Championships
Arthur Lynch,M,SBD,Raw,25.5,24-34,Open,91.86,93,262.5,180,285,7,2018-06-06,IPF,6th World Classic Championships
Luis Zouein,M,SBD,Raw,24.5,24-34,Open,104.3,105,267.5,187.5,297.5,12,2016-06-19,IPF,World Classic Powerlifting Championships
Juha Hyttinen,M,SBD,Single-ply,NA,NA,NA,99.6,100,360,202.5,325,1,1990-11-14,IPF,Men's World Powerlifting Championships
Bill Scully,M,SBD,Single-ply,41.5,40-44,Masters 1,81.8,82.5,255,170,267.5,5,2000-10-17,IPF,World Masters Powerlifting Championships
Alex Ochoa,M,SBD,Single-ply,25.5,24-34,Open,65.99,66,275,197.5,260,5,2016-11-14,IPF,World Open Championships
Nolan Crabbe,M,SBD,Single-ply,41.5,40-44,Masters 1,109.3,110,235,190,275,5,1999-10-19,IPF,World Masters Powerlifting Championships
Tui Katene,F,SBD,Raw,42,40-44,Masters 1,70.12,72,130,85,155,4,2016-06-19,IPF,World Classic Powerlifting Championships
Kaido Leesmann,M,B,Single-ply,46.5,45-49,Open,132.35,120+,NA,320,NA,6,2016-04-19,IPF,World Bench Press Championships
Johanna Aguinaga,F,SBD,Single-ply,19.5,20-23,Juniors,61.8,63,197.5,130,170,1,2013-08-27,IPF,World Juniors & Sub-Juniors Championships
Hatsuko Kimura,F,SBD,Single-ply,54.5,50-54,Masters 2,54.1,56,NA,80,NA,DQ,2006-10-02,IPF,World Masters Powerlifting Championships
Toni Hollis,F,B,Single-ply,36.5,35-39,Open,52,52,NA,77.5,NA,5,1991-12-15,IPF,World Bench Press Championships
Francis Mezzanotte,M,SBD,Single-ply,22.5,20-23,Open,67.5,67.5,250,130,260,6,1986-11-13,IPF,Men's World Powerlifting Championships
Juho Jaatinen,M,B,Single-ply,45.5,45-49,Masters 1,132.52,120+,NA,295,NA,1,2012-04-20,IPF,World Masters Bench Press Championships
Alexandre McQuillen,M,SBD,Raw,20.5,20-23,Open,65.84,66,215,125,227.5,2,2016-07-11,IPF,World University Powerlifting Cup
Sophie Smith #1,F,SBD,Raw,19,18-19,Open,61.73,63,112.5,75,157.5,7,2019-07-22,IPF,University Powerlifting Cup
Josef Fenzl,M,B,Single-ply,43.5,40-44,Masters 1,51.8,52,NA,60,NA,3,2004-04-21,IPF,World Masters Bench Press Championships
Johann Mandl,M,SBD,Single-ply,44.5,40-44,Masters 1,51.5,52,105,62.5,140,3,1994-10-19,IPF,World Masters Powerlifting Championships
Jonathan Gonge,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,96.1,100,295,167.5,255,4,2010-09-27,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Olivier Waymel,M,B,Single-ply,51,50-54,Masters 2,65.3,66,NA,190,NA,1,2018-04-23,IPF,World Bench Press Championships
Ellie Steel,F,SBD,Single-ply,25.5,24-34,Open,56.71,57,190,135,175,6,2017-11-13,IPF,World Powerlifting Championships
Anne Monjaret,F,SBD,Single-ply,NA,NA,Masters 1,51,52,112.5,57.5,130,2,2003-10-08,IPF,World Masters Powerlifting Championships
Kate Dingle-Craig,F,SBD,Single-ply,50.5,50-54,Masters 2,55.4,56,127.5,72.5,137.5,2,2008-09-30,IPF,World Masters Powerlifting Championships
Scott Peisley,M,SBD,Single-ply,18.5,18-19,Juniors,59.54,60,162.5,100,220,5,2008-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Sanet Momberg,F,B,Raw,43.5,40-44,Masters 1,77,84,NA,130,NA,1,2016-05-15,IPF,World Classic Bench Press Championships
Oleg Simavskiy,M,SBD,Single-ply,22.5,20-23,Open,88.7,90,280,195,250,G,2001-04-22,IPF,Student's World Cup
Mahesh Prasad,M,B,Single-ply,24.5,24-34,Open,59.7,60,NA,130,NA,8,1996-12-01,IPF,World Bench Press Championships
Angelika Kaliszewska,F,SBD,Raw,24.5,24-34,Open,61.71,63,120,67.5,140,9,2018-07-09,IPF,3rd World University Powerlifting Cup
Ken Ryder,M,SBD,Single-ply,44,40-44,Masters 1,124.3,125,282.5,240,307.5,3,2005-10-04,IPF,World Masters Powerlifting Championships
Ray Grilly,M,SBD,Single-ply,NA,NA,Open,75,75,272.5,185,275,1,1986-11-13,IPF,Men's World Powerlifting Championships
Julius Madsen,M,B,Single-ply,67.5,65-69,Masters 3,97.9,100,NA,157.5,NA,4,2005-04-20,IPF,World Masters Bench Press Championships
Donna Alimonosa,F,SBD,Single-ply,50.5,50-54,Masters 2,41.7,44,90,40,115,2,2002-10-08,IPF,World Masters Powerlifting Championships
Elodie Farque,F,SBD,Single-ply,25.5,24-34,Open,55.35,56,142.5,80,160,6,2005-05-26,IPF,Women's World Powerlifting Championships
Jarmo Rantakallio,M,B,Single-ply,27.5,24-34,NA,82.5,82.5,NA,190,NA,4,1990-12-16,IPF,World Bench Press Championships
Thomas Cragg,M,SBD,Raw,76.5,75-79,Masters 4,69.33,74,77.5,25,145,5,2018-06-06,IPF,6th World Classic Championships
Harumi Yamashiro,F,SBD,Single-ply,39.5,35-39,Open,43.6,44,100,57.5,130,6,1993-11-27,IPF,World Powerlifting Championships
Chantelle Du Toit,F,SBD,Single-ply,30.5,24-34,Open,71.17,72,152.5,107.5,162.5,14,2016-11-14,IPF,World Open Championships
Gemel Bougamdouz,M,SBD,Raw,50.5,50-54,Masters 2,89.25,93,202.5,160,245,3,2014-06-01,IPF,World Classic Powerlifting Championships
Markus Schick,M,B,Single-ply,40,40-44,Masters 1,82.59,83,NA,245,NA,1,2016-04-19,IPF,World Bench Press Championships
Kasa Schroer,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,67.9,75,145,95,132.5,2,2006-09-05,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Julian Massey,M,B,Single-ply,53.5,50-54,Masters 2,116.8,125,NA,185,NA,5,2010-03-30,IPF,World Masters Bench Press Championships
Andreas Poehls,M,B,Single-ply,46.5,45-49,Masters 1,73.4,74,NA,NA,NA,DQ,2015-04-16,IPF,World Masters Bench Press Championships
Dirk Van der Heyden,M,SBD,Single-ply,19.5,20-23,Juniors,75,75,210,117.5,245,8,1988-09-07,IPF,World Juniors Powerlifting Championships
Markus Ahonen,M,B,Single-ply,20.5,20-23,Juniors,98.1,105,NA,230,NA,6,2011-05-25,IPF,World Bench Press Championships
Heikki Mähönen,M,SBD,Single-ply,NA,NA,Masters 2,52,52,60,45,110,2,1989-08-11,IPF,World Masters Powerlifting Championships
Henry Chay,M,SBD,Raw,57,55-59,Masters 2,58.34,59,145,80,190,1,2018-06-06,IPF,6th World Classic Championships
Danielle Ross,F,B,Single-ply,21.5,20-23,Juniors,70,72,NA,130,NA,3,2017-05-22,IPF,World Bench Press Championships
Jonathan Gonge,M,SBD,Single-ply,21.5,20-23,Juniors,92.6,93,300,195,305,8,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Joanne Pappas,F,SBD,Single-ply,NA,NA,Open,48,48,110,60,142.5,7,1987-05-31,IPF,Women's World Powerlifting Championships
Alexander Huber,M,SBD,Single-ply,16.5,16-17,Sub-Juniors,73.25,75,197.5,135,195,8,2007-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Monika Lovas,F,B,Single-ply,20.5,20-23,Juniors,114.28,84+,NA,152.5,NA,3,2015-05-20,IPF,World Bench Press Championships
Dina Fursova,F,SBD,Single-ply,19.5,20-23,Juniors,56.57,57,185,107.5,165,1,2012-08-28,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Dave Doan,M,B,Single-ply,39,35-39,Open,108.6,110,NA,267.5,NA,2,2003-12-05,IPF,World Bench Press Championships
Toshihiro Hanada,M,SBD,Single-ply,20.5,20-23,Juniors,101.74,105,310,220,270,10,2012-08-28,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Johanna Aguinaga,F,SBD,Single-ply,18.5,18-19,Juniors,62.34,63,185,NA,160,DQ,2012-08-28,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Laurent Dewas,M,SBD,Single-ply,21.5,20-23,Juniors,81.2,82.5,282.5,147.5,275,3,1991-09-05,IPF,World Juniors Powerlifting Championships
Shantelle Szuch,F,SBD,Single-ply,36.5,35-39,Open,62.72,63,177.5,100,190,13,2016-11-14,IPF,World Open Championships
Rabah Bouchakour Ali,M,SBD,Single-ply,60.5,60-64,Masters 3,79.8,82.5,205,135,220,3,2006-10-02,IPF,World Masters Powerlifting Championships
Miroslaw Szmeja,M,SBD,Single-ply,NA,NA,Open,74.85,75,NA,NA,NA,DQ,1993-11-27,IPF,World Powerlifting Championships
Floris Van Melis,M,SBD,Single-ply,31.5,24-34,Open,104.02,105,310,227.5,272.5,11,2013-11-04,IPF,World Powerlifting Championships
Serik Kuzhakhmetov,M,SBD,Single-ply,31.5,24-34,Open,66.7,67.5,230,150,265,6,1994-11-17,IPF,Men's World Powerlifting Championships
Gordon Chenkie,M,SBD,Single-ply,59.5,55-59,Masters 3,93.56,105,217.5,NA,212.5,DQ,2012-10-02,IPF,World Masters Powerlifting Championships
Takashi Mori,M,B,Single-ply,49.5,45-49,Masters 2,65.9,66,NA,155,NA,2,2013-04-18,IPF,World Masters Bench Press Championships
Bar Yuval,M,B,Single-ply,31.5,24-34,Open,81.55,82.5,NA,205,NA,6,2005-01-12,IPF,World Open Bench Press Championships
Eddy Pengelly,M,SBD,Single-ply,36.5,35-39,Open,67.5,67.5,235,155,267.5,3,1986-11-13,IPF,Men's World Powerlifting Championships
Takashi Kanazawa,M,SBD,Single-ply,27.5,24-34,Open,82.12,82.5,265,217.5,235,12,2010-11-07,IPF,World Powerlifting Championships
David Pattaway,M,SBD,Single-ply,27.5,24-34,Open,56,56,215,97.5,225,2,1987-11-12,IPF,Men's World Powerlifting Championships
Fredrik Svensson,M,SBD,Single-ply,34.5,24-34,Open,150.9,120+,370,360,305,3,2014-11-03,IPF,World Powerlifting Championships
Leila Duhem,F,B,Single-ply,50.5,50-54,Open,83.57,84,NA,155,NA,4,2014-05-20,IPF,World Bench Press Championships
Komarudin,M,SBD,Single-ply,22.5,20-23,Open,56,56,210,110,262.5,5,1995-11-15,IPF,Men's World Powerlifting Championships
Walter Kurda,M,B,Single-ply,38.5,35-39,Open,110,110,NA,200,NA,4,1992-12-08,IPF,World Bench Press Championships
Vasilii Motovilnik,M,SBD,Raw,59.5,55-59,Masters 3,73.96,74,175,132.5,190,2,2017-06-14,IPF,World Classic Powerlifting Championships
Allen Ottolangui,M,SBD,Single-ply,47.5,45-49,Masters 1,74.8,75,230,145,230,8,2008-09-30,IPF,World Masters Powerlifting Championships
Maria Bartosova,F,B,Raw,35.5,35-39,Open,54.6,56,NA,67.5,NA,1,1997-12-05,IPF,World Disabled Bench Press Championships
Jesse Norris,M,SBD,Single-ply,18,18-19,Sub-Juniors,81.95,83,332.5,175,320,1,2011-08-30,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Li-Min Lin,F,B,Single-ply,26.5,24-34,Open,51.2,52,NA,107.5,NA,1,1997-12-05,IPF,World Bench Press Championships
Yang-Ching Fu,M,SBD,Single-ply,NA,NA,Juniors,52,52,130,60,140,7,1990-09-20,IPF,World Juniors Powerlifting Championships
Linda Kristensen,F,SBD,Single-ply,20.5,20-23,Open,55.9,56,155,85,145,9,1998-05-23,IPF,Women's World Powerlifting Championships
Iván Cancel,M,SBD,Single-ply,30.5,24-34,Open,58.89,59,237.5,160,217.5,3,2013-11-04,IPF,World Powerlifting Championships
Sheila Hinz,F,SBD,Single-ply,17,16-17,Sub-Juniors,59.02,60,127.5,65,150,3,2008-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Hui-Chen Chou,F,B,Single-ply,16.5,16-17,Open,55.6,56,NA,100,NA,5,2000-12-08,IPF,World Bench Press Championships
Kohei Kutose,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,82.3,83,205,135,210,6,2014-09-01,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Tomáš Lacko,M,SBD,Single-ply,20.5,20-23,Juniors,74,75,240,152.5,232.5,7,2003-09-09,IPF,World Juniors Powerlifting Championships
Frank Hausburg,M,SBD,Single-ply,29.5,24-34,Open,88.9,90,295,170,315,10,2001-11-15,IPF,Men's World Powerlifting Championships
Lee McCafferty,M,SBD,Raw,16.5,16-17,Sub-Juniors,104.5,105,202.5,120,200,7,2019-06-04,IPF,World Classic Powerlifting Championships
Toni Hollis,F,SBD,Single-ply,40.5,40-44,Masters 1,55.5,67.5,155,87.5,155,1,1995-10-03,IPF,World Masters Powerlifting Championships
Michael Fernandez Barrantes,M,SBD,Raw,33.5,24-34,Open,105,105,255,155,240,18,2016-06-19,IPF,World Classic Powerlifting Championships
Anne Daineffe,F,SBD,Raw,35.5,35-39,Open,62.16,63,135,85,145,13,2018-06-06,IPF,6th World Classic Championships
Natalie Richardson,F,SBD,Raw,17.5,18-19,Sub-Juniors,74.2,84,152.5,87.5,165,3,2017-06-14,IPF,World Classic Powerlifting Championships
