name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Donna Covington,F,SBD,Single-ply,42,40-44,Masters 1,66.1,67.5,155,72.5,165,1,2001-10-17,IPF,World Masters Powerlifting Championships
Christian Hedman,M,B,Single-ply,29.5,24-34,Open,73.61,74,NA,227.5,NA,4,2012-05-21,IPF,World Bench Press Championships
Saith Vasant,M,SBD,Single-ply,26.5,24-34,Open,73.28,75,225,NA,210,DQ,2009-11-02,IPF,World Powerlifting Championships
Romain Makil,M,B,Single-ply,42.5,40-44,Masters 1,104.7,110,NA,205,NA,6,2001-04-13,IPF,World Masters Bench Press Championships
Karen Povner,F,B,Single-ply,49.5,45-49,Masters 2,47.5,48,NA,55,NA,4,2006-04-19,IPF,World Masters Bench Press Championships
Katarina Gerjakova,F,SBD,Single-ply,22.5,20-23,Juniors,59.8,60,157.5,90,162.5,1,2006-09-05,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Alexey Sivokon,M,B,Single-ply,21,20-23,Open,65.7,67.5,NA,190,NA,1,1994-12-04,IPF,World Bench Press Championships
Mervi Anita Rantamäki,F,SBD,Single-ply,34.5,24-34,Open,55.96,56,177.5,102.5,182.5,2,2009-11-02,IPF,World Powerlifting Championships
John Gostelli,M,SBD,Single-ply,NA,NA,Masters 1,110,110,247.5,140,210,8,1989-08-11,IPF,World Masters Powerlifting Championships
Irina Bekhtereva,F,B,Single-ply,59.5,55-59,Masters 3,46.32,47,NA,57.5,NA,2,2019-05-18,IPF,World Bench Press Championships
Olav Farstad Svein,M,B,Single-ply,47.5,45-49,Masters 1,92.6,93,NA,247.5,NA,3,2013-04-18,IPF,World Masters Bench Press Championships
Brad Peters,M,SBD,Single-ply,22.5,20-23,Juniors,60,60,182.5,107.5,210,5,1999-10-05,IPF,World Juniors Powerlifting Championships
Helen Richards,F,SBD,Single-ply,46.5,45-49,Masters 1,69.4,67.5+,120,57.5,132.5,11,2000-10-17,IPF,World Masters Powerlifting Championships
Ulrike Hofmann,F,SBD,Single-ply,45.5,45-49,Masters 1,72.6,75,115,72.5,130,5,2007-06-10,IPF,World Masters Powerlifting Championships
Michelle Amsden,F,SBD,Single-ply,22.5,20-23,Open,55.7,56,157.5,100,170,1,2002-04-12,IPF,World Students Cup
Seiichi Mashimo,M,SBD,Single-ply,45.5,45-49,Masters 1,55.5,56,155,100,190,3,1993-10-26,IPF,World Masters Powerlifting Championships
Tsegmed Byambaa,M,SBD,Single-ply,69.5,65-69,Masters 3,68.99,75,150,60,140,7,2010-09-27,IPF,World Masters Championships
Huai-Chin Liang,M,SBD,Single-ply,21.5,20-23,Juniors,88.7,90,NA,NA,NA,DQ,1989-09-14,IPF,World Juniors Powerlifting Championships
Jade Dickens,F,B,Raw,42.5,40-44,Masters 1,108.86,84+,NA,115,NA,1,2017-04-22,IPF,World Classic Bench Press Championships
Chiho Aoki,F,B,Single-ply,26.5,24-34,Open,61.9,67.5,NA,115,NA,4,2001-12-07,IPF,World Bench Press Championships
Priscilla Ribic,F,SBD,Single-ply,36,35-39,Heavy,67.65,75,220,130,200,3,2009-07-25,IPF,World Games
Antoinette Kemper,F,SBD,Single-ply,36.5,35-39,Open,55.7,56,152.5,80,160,6,2002-05-29,IPF,Women's World Powerlifting Championships
Aira Knutars,F,B,Single-ply,49.5,45-49,Masters 2,51.45,52,NA,82.5,NA,1,2004-04-21,IPF,World Masters Bench Press Championships
Tatsuya Yoshida,M,SBD,Single-ply,30.5,24-34,Open,109.8,110,300,210,285,12,2000-11-15,IPF,Men's World Powerlifting Championships
Lars Backlund,M,SBD,Single-ply,28,24-34,Open,74.8,75,250,180,260,3,1977-11-03,IPF,Men's World Powerlifting Championships
Jaromír Sršeň,M,SBD,Single-ply,37.5,35-39,Open,96,105,300,215,290,16,2012-11-10,IPF,World Powerlifting Championships
Roxanne Salmon,F,B,Single-ply,38.5,35-39,Open,97.6,90+,NA,92.5,NA,7,2003-12-05,IPF,World Bench Press Championships
Irmeli Vaulakorpi,F,B,Single-ply,46.5,45-49,Masters 1,47.3,48,NA,60,NA,2,2001-04-13,IPF,World Masters Bench Press Championships
Helen White,F,SBD,Single-ply,68,65-69,Masters 3,60.04,63,100,70,122.5,3,2013-09-24,IPF,World Masters Powerlifting Championships
Leif Sydengen,M,B,Single-ply,51.5,50-54,Masters 2,95.2,100,NA,205,NA,7,2007-09-12,IPF,World Masters Bench Press Championships
Lee-Ann Dalling,F,B,Single-ply,19.5,20-23,Open,43.6,44,NA,70,NA,5,2001-12-07,IPF,World Bench Press Championships
K. Kaspersen,M,SBD,Single-ply,NA,NA,Juniors,75,75,285,130,250,3,1987-09-17,IPF,World Juniors Powerlifting Championships
Bernhard Schmidt,M,SBD,Single-ply,NA,NA,NA,106.5,110,300,185,310,9,1990-11-14,IPF,Men's World Powerlifting Championships
Conny Nilsson,M,SBD,Single-ply,27.5,24-34,Open,99.7,100,355,195,320,3,1983-11-10,IPF,Men's World Powerlifting Championships
Akira Kawashima,M,B,Single-ply,69.5,65-69,Masters 3,70.9,75,NA,140,NA,4,2006-04-19,IPF,World Masters Bench Press Championships
Hendrik Janse Van Rensburg,M,B,Single-ply,36.5,35-39,Open,103.75,105,NA,195,NA,10,2018-04-23,IPF,World Bench Press Championships
Kateryna Ivanina,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,61.58,63,180,87.5,157.5,2,2013-08-27,IPF,World Juniors & Sub-Juniors Championships
Ingo Woschny,M,B,Single-ply,51,50-54,Masters 2,82.15,83,NA,180,NA,6,2017-05-22,IPF,World Bench Press Championships
Reijo Hänninen,M,SBD,Single-ply,46.5,45-49,Masters 1,127.9,125+,320,190,302.5,3,2005-10-04,IPF,World Masters Powerlifting Championships
Mauro Di Pasquale,M,SBD,Single-ply,NA,NA,Open,67.5,67.5,262.5,140,272.5,2,1978-11-02,IPF,Men's World Powerlifting Championships
Claude Welcome,M,SBD,Raw,63.5,60-64,Masters 3,90.17,93,190,150,205,4,2015-06-05,IPF,World Classic Powerlifting Championships
Michael Gibson,M,B,Single-ply,30.5,24-34,Open,100.65,105,NA,222.5,NA,8,2018-04-23,IPF,World Bench Press Championships
Tarmo Parna,M,B,Single-ply,39.5,35-39,Masters 1,104.9,105,NA,257.5,NA,2,2018-04-23,IPF,World Bench Press Championships
Hendrik Södermann,M,SBD,Single-ply,28.5,24-34,Open,88.95,90,327.5,182.5,300,4,1993-11-27,IPF,World Powerlifting Championships
Lamar Gant,M,SBD,Single-ply,20,20-23,Open,55.9,56,190,135,242.5,1,1977-11-03,IPF,Men's World Powerlifting Championships
Zbyněk Krejča,M,B,Single-ply,44.5,40-44,Masters 1,119.95,120,NA,292.5,NA,3,2019-05-18,IPF,World Bench Press Championships
Ricardo Baretto,M,SBD,Single-ply,18.5,18-19,Open,92.66,100,280,150,275,13,2010-11-07,IPF,World Powerlifting Championships
Petr Lahoda,M,SBD,Raw,45.5,45-49,Masters 1,118.36,120,282.5,192.5,240,6,2016-06-19,IPF,World Classic Powerlifting Championships
Walter Schmidt,M,SBD,Single-ply,46.5,45-49,Masters 1,74.6,75,245,162.5,277.5,3,2005-10-04,IPF,World Masters Powerlifting Championships
Kristina Kaas Hofmann,F,SBD,Single-ply,26.5,24-34,Open,65.3,67.5,170,90,180,11,2008-10-30,IPF,World Powerlifting Championships
Prasad Gattupali Syam,M,SBD,Single-ply,NA,NA,Juniors,59.85,60,NA,NA,NA,DQ,2004-08-09,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Joanne Schaefer,F,SBD,Single-ply,37.5,35-39,Open,104,90+,235,160,215,4,2005-05-26,IPF,Women's World Powerlifting Championships
Brady Stewart,M,B,Single-ply,32.5,24-34,Open,118.24,120,NA,332.5,NA,4,2015-05-20,IPF,World Bench Press Championships
Dagmar Liptáková,F,SBD,Single-ply,27.5,24-34,Open,55.55,56,125,95,140,9,2004-05-03,IPF,Women's World Powerlifting Championships
Hui-Tang Weng,M,SBD,Single-ply,41.5,40-44,NA,67.5,67.5,225,135,260,11,1990-11-14,IPF,Men's World Powerlifting Championships
Brian Siders,M,SBD,Single-ply,25,24-34,Open,148.85,125+,405,317.5,360,1,2003-11-04,IPF,Men's World Powerlifting Championships
Kurt Freyer,M,SBD,Single-ply,50.5,50-54,Masters 2,110,110,215,130,215,2,1992-09-03,IPF,World Masters Powerlifting Championships
Teighan McIntyre,F,SBD,Raw,22.5,20-23,Juniors,61.52,63,120,67.5,147.5,9,2015-06-05,IPF,World Classic Powerlifting Championships
Clarry Parsons,M,SBD,Single-ply,51,50-54,Masters 2,90,90,235,125,245,3,1992-09-03,IPF,World Masters Powerlifting Championships
Andreas Poehls,M,B,Single-ply,45.5,45-49,Masters 1,73.8,74,NA,190,NA,7,2014-04-17,IPF,World Masters Bench Press Championships
Antonio E. Taguibao,M,SBD,Single-ply,NA,NA,Masters 1,51.8,52,157.5,85,195,1,2003-10-08,IPF,World Masters Powerlifting Championships
David Clark,M,SBD,Single-ply,50.5,50-54,Masters 2,98.3,100,245,165,290,1,1999-10-19,IPF,World Masters Powerlifting Championships
Rosemarie Beer,F,B,Single-ply,55.5,55-59,Masters 2,73.8,75,NA,105,NA,1,2001-04-13,IPF,World Masters Bench Press Championships
Bjørn Andreas Holmsen,M,SBD,Single-ply,34.5,24-34,Open,67.5,67.5,NA,NA,NA,DQ,1978-11-02,IPF,Men's World Powerlifting Championships
Frank Schulze,M,B,Single-ply,51,50-54,Masters 2,98.29,105,NA,190,NA,10,2013-04-18,IPF,World Masters Bench Press Championships
Brett Gibbs,M,SBD,Raw,26,24-34,Open,82.89,83,290,208.5,295,2,2017-06-14,IPF,World Classic Powerlifting Championships
Dominic Favre,M,SBD,Single-ply,43.5,40-44,Masters 1,56,56,175,95,210,1,1994-10-19,IPF,World Masters Powerlifting Championships
Adrian Zuñiga,M,SBD,Raw,31.5,24-34,Open,65.25,66,182.5,97.5,200,8,2019-06-04,IPF,World Classic Powerlifting Championships
Angela Torskaya,F,SBD,Single-ply,19.5,20-23,Juniors,97.1,90+,180,90,187.5,4,1997-09-12,IPF,World Juniors Powerlifting Championships
Matti Vuontisvaara,M,B,Single-ply,40.5,40-44,Masters 1,99.5,100,NA,232.5,NA,3,2008-04-16,IPF,World Masters Bench Press Championships
Dariusz Wszoła,M,SBD,Single-ply,34.5,24-34,Light,58.7,66,250,177.5,220,6,2013-07-30,IPF,World Games
Dimitri Didon,M,SBD,Single-ply,18.5,18-19,Juniors,66.6,67.5,230,135,265,6,2010-09-27,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Anastasiya Chervyakova,F,SBD,Single-ply,16.5,16-17,Sub-Juniors,46.7,47,155,72.5,122.5,1,2016-09-03,IPF,World Sub-Juniors & Juniors Powerlifting Championships
Viktor Kurbatov #1,M,SBD,Single-ply,22.5,20-23,Open,54.9,56,NA,NA,NA,DQ,2001-04-22,IPF,Student's World Cup
Nadesh Puyari,M,SBD,Single-ply,23.5,24-34,Open,67.5,67.5,NA,NA,NA,DQ,1989-11-13,IPF,World Powerlifting Championships
